2019-12-24 14:24:13.865 [main] INFO  c.z.s.SpringbootWebInterceptorApplication - Starting SpringbootWebInterceptorApplication on Wade-Why with PID 2420 (F:\MyIdeaProgram\SpringBoot\springboot\springboot-web-interceptor\target\classes started by wadewhy in F:\MyIdeaProgram\SpringBoot\springboot)
2019-12-24 14:24:13.875 [main] INFO  c.z.s.SpringbootWebInterceptorApplication - The following profiles are active: dev
2019-12-24 14:24:16.075 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2019-12-24 14:24:16.086 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2019-12-24 14:24:16.087 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.29]
2019-12-24 14:24:16.090 [main] INFO  org.apache.catalina.core.AprLifecycleListener - An older version [1.2.16] of the APR based Apache Tomcat Native library is installed, while Tomcat recommends a minimum version of [1.2.23]
2019-12-24 14:24:16.090 [main] INFO  org.apache.catalina.core.AprLifecycleListener - Loaded APR based Apache Tomcat Native library [1.2.16] using APR version [1.6.3].
2019-12-24 14:24:16.090 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true].
2019-12-24 14:24:16.090 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
2019-12-24 14:24:17.165 [main] INFO  org.apache.catalina.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 1.0.2m  2 Nov 2017]
2019-12-24 14:24:17.312 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2019-12-24 14:24:17.313 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 3360 ms
2019-12-24 14:24:17.742 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2019-12-24 14:24:18.055 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2019-12-24 14:24:18.058 [main] INFO  c.z.s.SpringbootWebInterceptorApplication - Started SpringbootWebInterceptorApplication in 4.874 seconds (JVM running for 8.739)
2019-12-24 14:25:21.175 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2019-12-24 14:25:21.176 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2019-12-24 14:25:21.189 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 13 ms
2019-12-24 14:25:21.210 [http-nio-8080-exec-1] INFO  c.z.s.config.LogHandlerInterceptor - perHandle拦截请求URL：http://localhost:8080/
2019-12-24 14:25:21.706 [http-nio-8080-exec-2] INFO  c.z.s.config.LogHandlerInterceptor - perHandle拦截请求URL：http://localhost:8080/favicon.ico
2019-12-24 14:25:41.042 [http-nio-8080-exec-4] INFO  c.z.s.config.LogHandlerInterceptor - perHandle拦截请求URL：http://localhost:8080/user/1
2019-12-24 14:25:41.317 [http-nio-8080-exec-5] INFO  c.z.s.config.LogHandlerInterceptor - perHandle拦截请求URL：http://localhost:8080/favicon.ico
2019-12-24 14:25:53.300 [http-nio-8080-exec-9] INFO  com.zzh.springbootwebinterceptor.config.LogAspect - Aspect-URL: /user
2019-12-24 14:25:53.300 [http-nio-8080-exec-9] INFO  com.zzh.springbootwebinterceptor.config.LogAspect - Aspect-HTTP_METHOD: GET
2019-12-24 14:25:53.300 [http-nio-8080-exec-9] INFO  com.zzh.springbootwebinterceptor.config.LogAspect - Aspect-IP: 0:0:0:0:0:0:0:1
2019-12-24 14:25:53.302 [http-nio-8080-exec-9] INFO  com.zzh.springbootwebinterceptor.config.LogAspect - Aspect-REQUEST_METHOD: com.zzh.springbootwebinterceptor.controller.UserController.getUser
2019-12-24 14:25:53.302 [http-nio-8080-exec-9] INFO  com.zzh.springbootwebinterceptor.config.LogAspect - Aspect-Args: []
2019-12-24 14:25:53.314 [http-nio-8080-exec-9] INFO  com.zzh.springbootwebinterceptor.config.LogAspect - Aspect-Response: Response(code=0000, message=success, data=User(username=Darcy, password=password, age=24, birthday=Tue Dec 24 14:25:53 CST 2019, skills=[java, golang]))
2019-12-24 14:25:53.315 [http-nio-8080-exec-9] INFO  com.zzh.springbootwebinterceptor.config.LogAspect - Aspect-SpeedTime: 15ms
2019-12-24 14:25:53.708 [http-nio-8080-exec-10] INFO  c.z.s.config.LogHandlerInterceptor - perHandle拦截请求URL：http://localhost:8080/favicon.ico
